LCIA category,Flow,Flow property,Flow unit,Location,Factor
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,01e04ddf-628b-3d9d-a9f0-751567e7a478,Mass,kg,,332000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,Mass,kg,,560000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,2c3bad90-9c15-3c4c-9ef7-8517678060a5,Mass,kg,,560000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,2d75f8a4-4792-3f17-bd60-013a9fcd6e9a,Mass,kg,,451000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,32f08265-1b69-3a19-bc52-0956124570cc,Mass,kg,,451000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,6b78c48f-bacf-4597-ac6d-ec7d6a0c4411,Mass,kg,,332000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,70b8b9fc-c695-3f45-b5b9-79d7d762fa49,Mass,kg,,1110.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,761ac87a-d818-4f18-9a25-32a16d7bfbfb,Energy,MJ,,1.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,7ae3bfc2-8532-11e0-9d78-0800200c9a66,Mass,kg,,451000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,7c9b9a1e-ec16-3541-8c16-85bd263f4693,Mass,kg,,560000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,b46ecf0a-7bf5-313d-9aad-7e1f30f59302,Mass,kg,,2291000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,b4afc09d-7159-4ced-8416-1cbf390c3b86,Mass,kg,,1110.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,b85f6025-577e-3936-9569-14f021652fd7,Mass,kg,,2291000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,d3d3143a-93e0-346f-b750-7b8057c48b4c,Energy,MJ,,1.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,ed15bc56-5a7b-3311-bb4a-65f56aa194ed,Mass,kg,,332000.0
7bf44e3a-5fa4-38b3-a7ed-f6a55bf66db6,ed65c408-2351-4f62-8430-dcd2f62ab70e,Mass,kg,,560000.0
